COO -t 8,0.007272
COO -t 16,0.002967
COO -t 32,0.001648
CSR -t 8,0.002169
CSR -t 16,0.002103
CSR -t 32,0.001233
ELL -t 8,0.005484
ELL -t 16,0.004149
ELL -t 32,0.00333
BCSR 1x1 -t 8,0.002042
BCSR 1x1 -t 16,0.002328
BCSR 1x1 -t 32,0.002118
BCSR 2x2 -t 8,0.001707
BCSR 2x2 -t 16,0.002318
BCSR 2x2 -t 32,0.002387
BCSR 4x4 -t 8,0.002982
BCSR 4x4 -t 16,0.002478
BCSR 4x4 -t 32,0.003052
BCSR 16x16 -t 8,0.005068
BCSR 16x16 -t 16,0.004939
BCSR 16x16 -t 32,0.004278
BELL 1 -t 8,0.001658
BELL 1 -t 16,0.00144
BELL 1 -t 32,0.002781
BELL 2 -t 8,0.000746
BELL 2 -t 16,0.001556
BELL 2 -t 32,0.002222
BELL 4 -t 8,0.001772
BELL 4 -t 16,0.001881
BELL 4 -t 32,0.00167
BELL 16 -t 8,0.000703
BELL 16 -t 16,0.001683
BELL 16 -t 32,0.001814
