Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_serial,0.451408,0.262426,0.713834,0,100,1,1,-1,1024,1024,1048576,0,0
csr_omp -t 1024x1024,0.203783,0.240886,0.444670,0,100,1,1,1,1024,1024,1048576,0,0
csr_omp -t 1024x1024,0.128219,0.279433,0.407652,0,100,1,1,2,1024,1024,1048576,0,0
csr_omp -t 1024x1024,0.081140,0.267614,0.348754,0,100,1,1,4,1024,1024,1048576,0,0
csr_omp -t 1024x1024,0.079540,0.280024,0.359564,0,100,1,1,8,1024,1024,1048576,0,0
csr_omp -t 1024x1024,0.068114,0.264887,0.333001,0,100,1,1,16,1024,1024,1048576,0,0
csr_omp -t 1024x1024,0.066301,0.262278,0.328579,0,100,1,1,32,1024,1024,1048576,0,0
bcsr_serial 1 x 1,0.548231,0.792523,1.340754,6144,100,1,1,-1,1024,1024,1048576,0,0
bcsr_serial 2 x 2,0.561907,0.617570,1.179477,6144,100,2,2,-1,1024,1024,1048576,0,0
bcsr_serial 4 x 4,0.534145,0.582407,1.116552,6144,100,4,4,-1,1024,1024,1048576,0,0
bcsr_serial 8 x 8,0.540672,0.585957,1.126629,6144,100,8,8,-1,1024,1024,1048576,0,0
bcsr_serial 16 x 16,0.537383,0.560260,1.097643,6144,100,16,16,-1,1024,1024,1048576,0,0
bcsr_serial 32 x 32,0.555660,0.569401,1.125061,6144,100,32,32,-1,1024,1024,1048576,0,0
bcsr_omp 1 x 1 -t 1,0.139963,0.852343,0.992306,6144,100,1,1,1,1024,1024,1048576,0,0
bcsr_omp 1 x 1 -t 2,0.078939,0.973761,1.052700,6144,100,1,1,2,1024,1024,1048576,0,0
bcsr_omp 1 x 1 -t 4,0.048508,0.845272,0.893780,6144,100,1,1,4,1024,1024,1048576,0,0
bcsr_omp 1 x 1 -t 8,0.047551,0.846403,0.893954,6144,100,1,1,8,1024,1024,1048576,0,0
bcsr_omp 1 x 1 -t 16,0.042624,0.854220,0.896844,6144,100,1,1,16,1024,1024,1048576,0,0
bcsr_omp 1 x 1 -t 32,0.041518,0.848092,0.889610,6144,100,1,1,32,1024,1024,1048576,0,0
bcsr_omp 2 x 2 -t 1,0.150259,0.680297,0.830556,6144,100,2,2,1,1024,1024,1048576,0,0
bcsr_omp 2 x 2 -t 2,0.080172,0.667464,0.747636,6144,100,2,2,2,1024,1024,1048576,0,0
bcsr_omp 2 x 2 -t 4,0.050235,0.660355,0.710590,6144,100,2,2,4,1024,1024,1048576,0,0
bcsr_omp 2 x 2 -t 8,0.048030,0.652215,0.700245,6144,100,2,2,8,1024,1024,1048576,0,0
bcsr_omp 2 x 2 -t 16,0.041905,0.659256,0.701161,6144,100,2,2,16,1024,1024,1048576,0,0
bcsr_omp 2 x 2 -t 32,0.040963,0.688148,0.729111,6144,100,2,2,32,1024,1024,1048576,0,0
bcsr_omp 4 x 4 -t 1,0.154284,0.663783,0.818067,6144,100,4,4,1,1024,1024,1048576,0,0
bcsr_omp 4 x 4 -t 2,0.079323,0.592484,0.671807,6144,100,4,4,2,1024,1024,1048576,0,0
