Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation
COO cuSparse,O2,CUDA API failed at line 46 with error: out of memory (2)
CUDA API failed at line 45 with error: out of memory (2)
CUDA API failed at line 45 with error: out of memory (2)
CUDA API failed at line 45 with error: out of memory (2)
CUDA API failed at line 45 with error: out of memory (2)
CUDA API failed at line 45 with error: out of memory (2)
CUDA API failed at line 45 with error: out of memory (2)
CUDA API failed at line 45 with error: out of memory (2)
CUDA API failed at line 45 with error: out of memory (2)
CUDA API failed at line 45 with error: out of memory (2)
10276008.000000,10.276008,0.010276,10276008,1.000000,15.623007,16.623007,11747091455,10,1,1,108384,-1,108384,108384,5138004,10276008,204,47,4.000000,313,17
