Test Name,Time (s)
CSR Serial -O2 -march=native,0.003859
CSR OMP -O2 -march=native,0.015473
ELL Serial -O2 -march=native,0.003021
ELL OMP -O2 -march=native,0.016109
BCSR Serial -O2 -march=native 1x1,0.002073
BCSR OMP -O2 -march=native 1x1,0.022017
BCSR Serial -O2 -march=native 2x2,0.006761
BCSR OMP -O2 -march=native 2x2,0.015959
BCSR Serial -O2 -march=native 4x4,0.024873
BCSR OMP -O2 -march=native 4x4,0.016985
BCSR Serial -O2 -march=native 8x8,0.057169
BCSR OMP -O2 -march=native 8x8,0.014021
BCSR Serial -O2 -march=native 16x16,0.121107
BCSR OMP -O2 -march=native 16x16,0.024953
BCSR Serial -O2 -march=native 32x32,0.138976
BCSR OMP -O2 -march=native 32x32,0.031264
