Test Name,Time (s)
CSR Serial -O2 -march=native,0.330533
CSR OMP -O2 -march=native,0.038102
ELL Serial -O2 -march=native,0.329862
ELL OMP -O2 -march=native,0.037127
BCSR Serial -O2 -march=native 1x1,0.139757
BCSR OMP -O2 -march=native 1x1,0.031929
BCSR Serial -O2 -march=native 2x2,0.136331
BCSR OMP -O2 -march=native 2x2,0.032063
BCSR Serial -O2 -march=native 4x4,0.136183
BCSR OMP -O2 -march=native 4x4,0.026586
BCSR Serial -O2 -march=native 8x8,0.136392
BCSR OMP -O2 -march=native 8x8,0.029158
BCSR Serial -O2 -march=native 16x16,0.137189
BCSR OMP -O2 -march=native 16x16,0.030682
BCSR Serial -O2 -march=native 32x32,0.135629
BCSR OMP -O2 -march=native 32x32,0.025505
