Test Name,Time (s)
CSR Serial -O2 -march=native,0.011359
CSR OMP -O2 -march=native,0.016550
ELL Serial -O2 -march=native,0.010888
ELL OMP -O2 -march=native,0.020607
BCSR Serial -O2 -march=native 1x1,0.004885
BCSR OMP -O2 -march=native 1x1,0.019359
BCSR Serial -O2 -march=native 2x2,0.017266
BCSR OMP -O2 -march=native 2x2,0.017071
BCSR Serial -O2 -march=native 4x4,0.057075
BCSR OMP -O2 -march=native 4x4,0.021459
BCSR Serial -O2 -march=native 8x8,0.121046
BCSR OMP -O2 -march=native 8x8,0.032241
BCSR Serial -O2 -march=native 16x16,0.138965
BCSR OMP -O2 -march=native 16x16,0.030261
BCSR Serial -O2 -march=native 32x32,0.142569
BCSR OMP -O2 -march=native 32x32,0.033823
