Test Name,Time (s)
CSR Serial -O2 -march=native,0.001076
CSR OMP -O2 -march=native,0.016369
ELL Serial -O2 -march=native,0.000755
ELL OMP -O2 -march=native,0.015619
BCSR Serial -O2 -march=native 1x1,0.000440
BCSR OMP -O2 -march=native 1x1,0.011598
BCSR Serial -O2 -march=native 2x2,0.001330
BCSR OMP -O2 -march=native 2x2,0.017003
BCSR Serial -O2 -march=native 4x4,0.004240
BCSR OMP -O2 -march=native 4x4,0.012118
BCSR Serial -O2 -march=native 8x8,0.016777
BCSR OMP -O2 -march=native 8x8,0.016863
BCSR Serial -O2 -march=native 16x16,0.026750
BCSR OMP -O2 -march=native 16x16,0.018274
BCSR Serial -O2 -march=native 32x32,0.026836
BCSR OMP -O2 -march=native 32x32,0.011197
