Test Name,Time (s)
CSR Serial -O2 -march=native,0.012855
CSR OMP -O2 -march=native,0.019932
ELL Serial -O2 -march=native,0.013011
ELL OMP -O2 -march=native,0.016816
BCSR Serial -O2 -march=native 1x1,0.006128
BCSR OMP -O2 -march=native 1x1,0.015844
BCSR Serial -O2 -march=native 2x2,0.016938
BCSR OMP -O2 -march=native 2x2,0.016660
BCSR Serial -O2 -march=native 4x4,0.026130
BCSR OMP -O2 -march=native 4x4,0.011644
BCSR Serial -O2 -march=native 8x8,0.022570
BCSR OMP -O2 -march=native 8x8,0.023412
BCSR Serial -O2 -march=native 16x16,0.018427
BCSR OMP -O2 -march=native 16x16,0.011481
BCSR Serial -O2 -march=native 32x32,0.026451
BCSR OMP -O2 -march=native 32x32,0.015249
