Test Name,Time (s)
CSR Serial -O2 -march=native,0.003770
CSR OMP -O2 -march=native,0.015969
ELL Serial -O2 -march=native,0.003607
ELL OMP -O2 -march=native,0.008225
BCSR Serial -O2 -march=native 1x1,0.001825
BCSR OMP -O2 -march=native 1x1,0.015573
BCSR Serial -O2 -march=native 2x2,0.006077
BCSR OMP -O2 -march=native 2x2,0.015931
BCSR Serial -O2 -march=native 4x4,0.017057
BCSR OMP -O2 -march=native 4x4,0.010077
BCSR Serial -O2 -march=native 8x8,0.026088
BCSR OMP -O2 -march=native 8x8,0.016998
BCSR Serial -O2 -march=native 16x16,0.026490
BCSR OMP -O2 -march=native 16x16,0.019036
BCSR Serial -O2 -march=native 32x32,0.026472
BCSR OMP -O2 -march=native 32x32,0.020578
