Test Name,Time (s)
CSR Serial -O2 -march=native,0.005885
CSR OMP -O2 -march=native,0.020361
ELL Serial -O2 -march=native,0.009039
ELL OMP -O2 -march=native,0.016260
BCSR Serial -O2 -march=native 1x1,0.002651
BCSR OMP -O2 -march=native 1x1,0.014403
BCSR Serial -O2 -march=native 2x2,0.008958
BCSR OMP -O2 -march=native 2x2,0.027339
BCSR Serial -O2 -march=native 4x4,0.031224
BCSR OMP -O2 -march=native 4x4,0.018613
BCSR Serial -O2 -march=native 8x8,0.087425
BCSR OMP -O2 -march=native 8x8,0.024237
BCSR Serial -O2 -march=native 16x16,0.136723
BCSR OMP -O2 -march=native 16x16,0.035419
BCSR Serial -O2 -march=native 32x32,0.140750
BCSR OMP -O2 -march=native 32x32,0.031902
