Test Name,Time (s)
CSR Serial -O2 -march=native,0.156336
CSR OMP -O2 -march=native,0.021734
ELL Serial -O2 -march=native,0.157239
ELL OMP -O2 -march=native,0.033055
BCSR Serial -O2 -march=native 1x1,0.056008
BCSR OMP -O2 -march=native 1x1,0.025671
BCSR Serial -O2 -march=native 2x2,0.121590
BCSR OMP -O2 -march=native 2x2,0.027328
BCSR Serial -O2 -march=native 4x4,0.139394
BCSR OMP -O2 -march=native 4x4,0.025412
BCSR Serial -O2 -march=native 8x8,0.139911
BCSR OMP -O2 -march=native 8x8,0.028109
BCSR Serial -O2 -march=native 16x16,0.145617
BCSR OMP -O2 -march=native 16x16,0.022707
BCSR Serial -O2 -march=native 32x32,0.140347
BCSR OMP -O2 -march=native 32x32,0.033430
