Test Name,Time (s)
CSR Serial -O2 -march=native,0.044719
CSR OMP -O2 -march=native,0.013900
ELL Serial -O2 -march=native,0.040806
ELL OMP -O2 -march=native,0.017842
BCSR Serial -O2 -march=native 1x1,0.017734
BCSR OMP -O2 -march=native 1x1,0.022133
BCSR Serial -O2 -march=native 2x2,0.018135
BCSR OMP -O2 -march=native 2x2,0.017405
BCSR Serial -O2 -march=native 4x4,0.017131
BCSR OMP -O2 -march=native 4x4,0.012156
BCSR Serial -O2 -march=native 8x8,0.017138
BCSR OMP -O2 -march=native 8x8,0.016269
BCSR Serial -O2 -march=native 16x16,0.017001
BCSR OMP -O2 -march=native 16x16,0.011318
BCSR Serial -O2 -march=native 32x32,0.016987
BCSR OMP -O2 -march=native 32x32,0.015051
