,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation,Unnamed: 0.1,Unnamed: 0
0,BCSR OMP,O2,127325845.900169,127.325846,0.127326,27980096,0.225807,52.108496,52.334303,0,10,4,4,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,,
1,BCSR OMP,O2,481419219.933461,481.41922,0.481419,111920384,0.236532,52.237158,52.47369,0,10,4,4,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,,
2,BCSR OMP,O2,810083430.978374,810.083431,0.810083,223840768,0.289216,52.128472,52.417689,0,10,4,4,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,,
3,BCSR OMP,O2,112040489.996287,112.04049,0.11204,27980096,0.270289,52.262067,52.532356,0,10,4,4,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,,
4,BCSR OMP,O2,439624552.151978,439.624552,0.439625,111920384,0.275521,52.113047,52.388568,0,10,4,4,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,,
5,BCSR OMP,O2,755874805.732826,755.874806,0.755875,223840768,0.318676,52.264939,52.583615,0,10,4,4,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,,
6,BCSR OMP,O2,121552537.62341,121.552538,0.121553,27980096,0.299001,52.17701,52.476011,0,10,4,4,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,,
7,BCSR OMP,O2,317945848.342742,317.945848,0.317946,111920384,0.405011,52.125288,52.530299,0,10,4,4,64,32,101492,101492,874378,1748756,24,8,3.0,14,3,,
8,BCSR OMP,O2,538294152.284587,538.294152,0.538294,223840768,0.503393,51.684959,52.188351,0,10,4,4,128,32,101492,101492,874378,1748756,24,8,3.0,14,3,,
9,BCSR OMP,O2,127325845.900169,127.325846,0.127326,27980096,0.225807,52.108496,52.334303,0,10,4,4,16,8,101492,101492,874378,1748756,24,8,3.0,14,3,0.0,
10,BCSR OMP,O2,481419219.933461,481.41922,0.481419,111920384,0.236532,52.237158,52.47369,0,10,4,4,64,8,101492,101492,874378,1748756,24,8,3.0,14,3,1.0,
11,BCSR OMP,O2,810083430.978374,810.083431,0.810083,223840768,0.289216,52.128472,52.417689,0,10,4,4,128,8,101492,101492,874378,1748756,24,8,3.0,14,3,2.0,
12,BCSR OMP,O2,112040489.996287,112.04049,0.11204,27980096,0.270289,52.262067,52.532356,0,10,4,4,16,16,101492,101492,874378,1748756,24,8,3.0,14,3,3.0,
13,BCSR OMP,O2,439624552.151978,439.624552,0.439625,111920384,0.275521,52.113047,52.388568,0,10,4,4,64,16,101492,101492,874378,1748756,24,8,3.0,14,3,4.0,
14,BCSR OMP,O2,755874805.732826,755.874806,0.755875,223840768,0.318676,52.264939,52.583615,0,10,4,4,128,16,101492,101492,874378,1748756,24,8,3.0,14,3,5.0,
15,BCSR OMP,O2,121552537.62341,121.552538,0.121553,27980096,0.299001,52.17701,52.476011,0,10,4,4,16,32,101492,101492,874378,1748756,24,8,3.0,14,3,6.0,
