Name,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_omp -t 512x16,0.001296,0.010422,0.011718,0,100,1,1,1,512,512,8192,0,0
csr_omp -t 512x16,0.000769,0.007449,0.008218,0,100,1,1,2,512,512,8192,0,0
csr_omp -t 512x16,0.000443,0.005477,0.005920,0,100,1,1,4,512,512,8192,0,0
csr_omp -t 512x16,0.000367,0.010218,0.010585,0,100,1,1,8,512,512,8192,0,0
csr_omp -t 512x16,0.000804,0.004819,0.005623,0,100,1,1,16,512,512,8192,0,0
csr_omp -t 512x16,0.001120,0.005048,0.006168,0,100,1,1,32,512,512,8192,0,0
ell_omp -t 1,0.001336,0.009134,0.010470,0,100,1,1,1,512,512,8192,16,16
ell_omp -t 2,0.000738,0.009243,0.009981,0,100,1,1,2,512,512,8192,16,16
ell_omp -t 4,0.000401,0.005185,0.005586,0,100,1,1,4,512,512,8192,16,16
ell_omp -t 8,0.000389,0.005353,0.005742,0,100,1,1,8,512,512,8192,16,16
ell_omp -t 16,0.000453,0.006077,0.006530,0,100,1,1,16,512,512,8192,16,16
ell_omp -t 32,0.000917,0.005762,0.006679,0,100,1,1,32,512,512,8192,16,16
