COO -t 8,0.022511
COO -t 16,0.022439
COO -t 32,0.021928
CSR -t 8,0.033587
CSR -t 16,0.025943
CSR -t 32,0.02498
ELL -t 8,0.037438
ELL -t 16,0.024205
ELL -t 32,0.025418
BCSR 1x1 -t 8,0.036732
BCSR 1x1 -t 16,0.028023
BCSR 1x1 -t 32,0.027644
BCSR 2x2 -t 8,0.041976
BCSR 2x2 -t 16,0.03411
BCSR 2x2 -t 32,0.026982
BCSR 4x4 -t 8,0.050699
BCSR 4x4 -t 16,0.04086
BCSR 4x4 -t 32,0.03231
BCSR 16x16 -t 8,0.072648
BCSR 16x16 -t 16,0.056863
BCSR 16x16 -t 32,0.044574
BELL 1 -t 8,0.026337
BELL 1 -t 16,0.022756
BELL 1 -t 32,0.019493
BELL 2 -t 8,0.031003
BELL 2 -t 16,0.023107
BELL 2 -t 32,0.019966
BELL 4 -t 8,0.033046
BELL 4 -t 16,0.023746
BELL 4 -t 32,0.022053
BELL 16 -t 8,0.033788
BELL 16 -t 16,0.023913
BELL 16 -t 32,0.022722
