COO -t 8,5.09852
COO -t 16,5.314569
COO -t 32,5.288381
CSR -t 8,5.160315
CSR -t 16,5.35025
CSR -t 32,5.3472
ELL -t 8,5.48774
ELL -t 16,5.590643
ELL -t 32,5.565236
BCSR 1x1 -t 8,285.679821
BCSR 1x1 -t 16,286.64581
BCSR 1x1 -t 32,286.763676
BCSR 2x2 -t 8,285.59154
BCSR 2x2 -t 16,284.242946
BCSR 2x2 -t 32,284.833715
BCSR 4x4 -t 8,282.566669
BCSR 4x4 -t 16,283.976045
BCSR 4x4 -t 32,282.773728
BCSR 16x16 -t 8,285.97013
BCSR 16x16 -t 16,287.01941
BCSR 16x16 -t 32,283.993296
BELL 1 -t 8,5.673697
BELL 1 -t 16,5.676063
BELL 1 -t 32,5.66736
BELL 2 -t 8,5.661072
BELL 2 -t 16,5.632654
BELL 2 -t 32,5.652251
BELL 4 -t 8,5.681884
BELL 4 -t 16,5.666122
BELL 4 -t 32,5.669302
BELL 16 -t 8,5.661555
BELL 16 -t 16,5.65845
BELL 16 -t 32,5.635145
