,Name,-O,FLOPS,MFLOPS,GFLOPS,FOP Count,Avg Run Time (s),Format Time (s),Total Time (s),Verification,Iters,Block Row,Block Col,K-Bound,Threads,Rows,Cols,NNZ,NNZ*2,Max Cols,Avg Cols,Col Ratio,Variance,Std Deviation,Matrix
7,BCSR Serial,O2,50418559.057191,50.418559,0.050419,18630240,0.369512,12.997666,13.367178,0,10,4,4,128,-1,101492,101492,874378,1748756,24,8,3.0,14,3,2cubes_sphere
7,BCSR Serial,O2,59942246.429572,59.942246,0.059942,1649344,0.027522,0.996764,1.024286,3840,10,4,4,128,-1,23560,23560,484256,968512,21,20,1.0,1,1,af23560
7,BCSR Serial,O2,40649619.37318,40.649619,0.04065,223008,0.005595,0.088588,0.094183,0,10,4,4,128,-1,2003,2003,42943,85886,84,21,4.0,197,14,bcsstk13
7,BCSR Serial,O2,68056768.597737,68.056769,0.068057,771328,0.011348,0.33927,0.350618,128,10,4,4,128,-1,10974,10974,219812,439624,108,20,5.0,79,8,bcsstk17
7,BCSR Serial,O2,56943552.19457,56.943552,0.056944,7655968,0.134449,5.658478,5.792927,0,10,4,4,128,-1,62451,62451,2034917,4069834,40,32,1.0,54,7,cant
7,BCSR Serial,O2,37683085.572273,37.683086,0.037683,11574624,0.307161,17.899712,18.206873,12712192,10,4,4,128,-1,121192,121192,1362087,2724174,24,11,2.0,45,6,cop20k_A
7,BCSR Serial,O2,51810896.79551,51.810897,0.051811,27377088,0.528407,7.710804,8.239211,256,10,4,4,128,-1,63838,63838,7106348,14212696,297,111,2.0,2339,48,crankseg_2
7,BCSR Serial,O2,57686468.501927,57.686469,0.057686,335232,0.00584,0.199573,0.205413,0,10,4,4,128,-1,8192,8192,41746,83492,8,5,1.0,0,0,dw4096
7,BCSR Serial,O2,52144961.929479,52.144962,0.052145,39361088,0.754841,12.13572,12.890561,2048,10,4,4,128,-1,72000,72000,14393817,28787634,481,199,2.0,6652,81,nd24k
7,BCSR Serial,O2,55772539.333934,55.772539,0.055773,6753856,0.121108,2.612168,2.733276,1152,10,4,4,128,-1,36417,36417,2190591,4381182,184,60,3.0,753,27,pdb1HYS
7,BCSR Serial,O2,54785673.317088,54.785673,0.054786,8683424,0.158505,3.715899,3.874404,48896,10,4,4,128,-1,46835,46835,2374001,4748002,145,50,2.0,772,27,rma10
7,BCSR Serial,O2,33062177.290082,33.062177,0.033062,1638400,0.049558,8.103462,8.15302,0,10,4,4,128,-1,81920,81920,204800,409600,4,2,2.0,0,0,shallow_water1
7,BCSR Serial,O2,50869824.579615,50.869825,0.05087,23166624,0.455415,19.84904,20.304455,11576448,10,4,4,128,-1,116158,116158,8516500,17033000,3263,73,44.0,176054,419,torso1
7,BCSR Serial,O2,59595988.000017,59.595988,0.059596,14349760,0.240788,16.587389,16.828177,1792,10,4,4,128,-1,108384,108384,5138004,10276008,204,47,4.0,313,17,x104
