Name,Avg Run Time (s),Format Time (s),Total Time (s),GFLOPS,Verification,Iters,Block Row,Block Col,Threads,Rows,Cols,NNZ,Max Cols,Avg Cols
csr_serial,FLOPS: 4194304
csr_omp -t 512x8,FLOPS: 4194304
csr_omp -t 512x8,FLOPS: 4194304
csr_omp -t 512x8,FLOPS: 4194304
csr_omp -t 512x8,FLOPS: 4194304
csr_omp -t 512x8,FLOPS: 4194304
csr_omp -t 512x8,FLOPS: 4194304
ell_serial,FLOPS: 4194304
ell_omp -t 1,FLOPS: 4194304
ell_omp -t 2,FLOPS: 4194304
ell_omp -t 4,FLOPS: 4194304
ell_omp -t 8,FLOPS: 4194304
ell_omp -t 16,FLOPS: 4194304
ell_omp -t 32,FLOPS: 4194304
